Control,Objective,Type,Implementation Notes,Column1
3.1.1,(a),POLICY,Document who authorized users are,
3.1.1,(b),POLICY,Document service accounts/processes,
3.1.1,(c),POLICY,Document authorized devices/systems,
3.1.1,(d),CONFIG,"Access to information systems is enforced through Microsoft Entra ID authentication and authorization. Group-based assignments, Conditional Access policies, and least-privilege role enforcement ensure only approved users can access organizational systems.",
3.1.1,(e),CONFIG,"Non-interactive access is performed using service accounts and service principals with explicitly scoped permissions. Managed identities or credentials stored in Azure Key Vault are used, and interactive logon is disabled to prevent misuse.",
3.1.1,(f),CONFIG,"Device-based access is enforced using Conditional Access policies requiring Intune-compliant devices. Only devices meeting security baselines such as encryption, OS version, and endpoint protection are allowed to access systems.",
3.1.2,(a),POLICY,Document transaction types,
3.1.2,(b),POLICY,Document function permissions,
3.1.2,(c),CONFIG,Role-Based Access Control restricts system access to only approved transaction types. Azure RBAC and application permissions ensure users cannot execute unauthorized actions.,
3.1.2,(d),CONFIG,System functions are restricted using Entra ID roles and Azure RBAC. Administrative and sensitive functions are accessible only to explicitly authorized roles.,
3.1.3,(a),POLICY,Document approved external systems,
3.1.3,(b),POLICY,Document connection specifications,
3.1.3,(c),POLICY,Document security requirements,
3.1.3,(d),CONFIG,"The use of external information systems is restricted through Azure Firewall, Network Security Groups, and Conditional Access policies. Only approved systems, applications, and network paths are permitted.",
3.1.3,(e),CONFIG,"Connections to external systems are controlled using network security rules, firewall policies, and Conditional Access. Restrictions are enforced based on destination, identity, device state, and risk.",
3.1.4,(a),POLICY,Document internal flow policies,
3.1.4,(b),POLICY,Document inter-system flow policies,
3.1.4,(c),CONFIG,"Connections to external systems are controlled using network security rules, firewall policies, and Conditional Access. Restrictions are enforced based on destination, identity, device state, and risk.",
3.1.5,(a),POLICY,Document separated duties,
3.1.5,(b),POLICY,Document role responsibilities,
3.1.5,(c),CONFIG,Separation of duties is enforced through Azure RBAC and Entra ID role assignments. Privileged Identity Management prevents standing privileges and enforces just-in-time role activation.,
3.1.6,(a),POLICY,Document nonsecurity functions,
3.1.6,(b),POLICY,Document the requirement/rule,
3.1.7,(a),POLICY,Document role-based access needs,
3.1.7,(b),POLICY,Document service account needs,
3.1.7,(c),CONFIG,Users are granted access through Entra ID role assignments aligned to job responsibilities. Access reviews are conducted to validate continued need and remove excess permissions.,
3.1.7,(d),CONFIG,Processes are granted access using service principals or managed identities with narrowly scoped permissions. Access is limited to required resources only.,
3.1.8,(a),POLICY,Processes are granted access using service principals or managed identities with narrowly scoped permissions. Access is limited to required resources only.,
3.1.8,(b),POLICY,"Document window (e.g., 15 min)",
3.1.8,(c),CONFIG,Entra ID authentication policies enforce limits on consecutive invalid logon attempts. Exceeding the threshold triggers automated protection mechanisms.,
3.1.8,(d),CONFIG,Accounts are automatically locked based on defined thresholds or risk signals until released by an administrator or delay algorithm.,
3.1.8,(e),CONFIG,"Lockout duration is enforced through Entra ID policies, preventing authentication attempts until the defined cooldown period expires.",
3.1.9,(a),POLICY,"Lockout duration is enforced through Entra ID policies, preventing authentication attempts until the defined cooldown period expires.",
3.1.9,(b),CONFIG,A system use notification banner is displayed before authentication using Windows and Entra ID policy settings.,
3.1.9,(c),CONFIG,Users must acknowledge the system use notification before completing logon. Authentication cannot proceed without acceptance.,
3.1.10,(a),CONFIG,Users are informed of the date and time of their last successful logon using Entra ID sign-in data.,
3.1.10,(b),CONFIG,"Sessions automatically lock after a defined period of inactivity using Windows, Azure Virtual Desktop, or workspace policies.",
3.1.11,(a),POLICY,"Sessions automatically lock after a defined period of inactivity using Windows, Azure Virtual Desktop, or workspace policies.",
3.1.11,(b),CONFIG,"Sessions automatically lock after a defined period of inactivity using Windows, Azure Virtual Desktop, or workspace policies.",
3.1.11,(c),CONFIG,"Locked sessions conceal system information using a standard lock screen image, preventing exposure of sensitive data.",
3.1.12,(a),POLICY,Document termination triggers,
3.1.12,(b),CONFIG,Sessions are automatically terminated using Continuous Access Evaluation and session policies when defined conditions or risk changes occur.,
3.1.13,(a),POLICY,Document approved remote methods,
3.1.13,(b),CONFIG,Remote access methods are restricted using firewall rules and Conditional Access policies. Only approved protocols and applications are allowed.,
3.1.13,(c),CONFIG,Remote access sessions are logged and monitored using Entra ID sign-in logs and Microsoft Sentinel analytics.,
3.1.13,(d),CONFIG,"Conditional Access enforces MFA, device compliance, and network restrictions for all remote access sessions.",
3.1.14,(a),POLICY,Document TLS/IPSec requirements,
3.1.14,(b),CONFIG,Remote access confidentiality is protected using TLS encryption and approved cryptographic protocols. Weak or deprecated encryption is disabled.,
3.1.15,(a),POLICY,Document gateways/VPN endpoints,
3.1.15,(b),CONFIG,Remote access traffic is forced through managed gateways such as VPNs or Azure security appliances. Direct access paths are blocke,
3.1.16,(a),POLICY,Document approval workflow,
3.1.16,(b),CONFIG,802.1X/auth enforced before acceWireless access requires authentication prior to network connectivity using 802.1X or certificate-based authentication.ss,
3.1.17,(a),POLICY,Document WPA3/802.1X methods,
3.1.17,(b),POLICY,Document AES-256/GCMP,
3.1.17,(c),CONFIG,Wireless networks enforce strong authentication using enterprise identity or certificate-based mechanisms.,
3.1.17,(d),CONFIG,Wireless traffic is encrypted using WPA3 or WPA2-Enterprise with approved encryption algorithms.,
3.1.18,(a),POLICY,Document approved device types,
3.1.18,(b),CONFIG,Mobile device connections are controlled using Microsoft Intune compliance policies and Conditional Access enforcement. Non-compliant devices are blocked.,
3.1.19,(a),POLICY,Document approved/blocked code,
3.1.19,(b),POLICY,Document where code allowed,
3.1.19,(c),POLICY,Document where code blocked,
3.1.19,(d),CONFIG,"Mobile code execution is restricted using AppLocker, Microsoft Defender Application Control, and browser security policies.",
3.1.19,(e),CONFIG,Mobile code activity is monitored using Microsoft Defender for Endpoint telemetry and alerting.,
3.1.20,(a),POLICY,Document VoIP approval,
3.1.20,(b),CONFIG,VoIP usage is monitored using Microsoft Teams audit logs and network telemetry.,
3.1.20,(c),CONFIG,Firewall rules and Conditional Access policies restrict VoIP usage to approved applications and users.,
3.1.21,(a),POLICY,Document DNS servers/DoH,
3.1.21,(b),CONFIG,DNSSEC is implemented to provide origin authentication data in DNS resolution responses.,
3.1.21,(c),CONFIG,DNS resolvers validate DNSSEC signatures to ensure integrity of name resolution data.,
3.1.22,(a),POLICY,Document password/MFA requirements,
3.1.22,(b),CONFIG,Password strength and authentication requirements are enforced through Entra ID authentication policies and MFA.,
3.1.22,(c),CONFIG,Initial credentials are securely distributed through controlled onboarding workflows and enforced password change at first use.,
3.1.23,(a),POLICY,Document protection requirements,
3.1.23,(b),CONFIG,Authenticators are protected using industry-standard hashing and hardware-backed protections such as TPM or HSMs where applicable.,
